"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","Beguir-Pente","Bandai Spirits","5065016","CEK-077 Beguir-Pente","Static model kits","USD 23.95","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1443223"
"1:144","Michaelis","Bandai Spirits","5064252","CFK-029 Michaelis","Static model kits","USD 20.5","0000-00-00","","","","","","https://www.scalemates.com/kits/--1447583"
"1:144","Heindree","Bandai Spirits","5065101","CFP-010 Heindree","Static model kits","USD 25.95","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1467530"
"1:144","Heindree Sturm","Bandai Spirits","5065112","CFP-013 Heindree Sturm","Static model kits","USD 21.99","2024-08-02","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1447584"
"1:300","Atreides Ornithopter","Meng Model","MMS-011","Dune","Static model kits","USD 15.99","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1506615"
"1:144","Graze Custom","Bandai Spirits","5060383","EB-06 Graze","Static model kits","USD 13.99","2024-11-25","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1302194"
"1:144","Graze Ein","Bandai Spirits","5058171","EB-06 Graze","Static model kits","USD 18","2024-11-23","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1302336"
"1:144","Graze Standard Type / Commander Type","Bandai Spirits","5060382","EB-06 Graze","Static model kits","USD 12.99","2024-11-25","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1302201"
"1:144","McGillis's Schwalbe Graze","Bandai Spirits","5057946","EB-06 Graze","Static model kits","USD 13.99","2024-11-29","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1302685"
"1:144","Gundam Lfrith Ur","Bandai Spirits","5065088","EDM-GA-01 gundam Lfrith Ur","Static model kits","USD 23.5","0000-00-00","","","","","","https://www.scalemates.com/kits/--1443224"
"1:144","Gundam Lfrith Thorn","Bandai Spirits","5065097","EDM-GA-02 gundam Lfrith Thorn","Static model kits","USD 17.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1443225"
"1:144","Gundvölva","Bandai Spirits","5064253","EDM-GB gundvölva","Static model kits","USD 20.8","0000-00-00","","","","","","https://www.scalemates.com/kits/--1461637"
